      时间,Open,High,Low,Close,Volume,成交额.上海成交额比例,成交额.深圳成交额比例,成交额.      ,成交额.      ,成交额.      ,SIMP_LEI.VAR1  ,SIMP_LEI.EE    ,E_OUTPUT,SIMP_LEI.F_OUTPUT,SIMP_LEI.G_OUTPUT,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.C_30  ,SIMP_LEI.C_6869,试函数.沪深300红线率,试函数.      ,试函数.沪深300平均E,试函数.AVGE_INRANGE,试函数.过年线,试函数.是否过TOP,试函数.满足成交量,试函数.成交量,试函数.前高成交量,试函数.是否FINAL_COND,试函数.FLOW_TOP_TOP,试函数.BOTTOM_LINE,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.四大平均平均,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,FLOW_TOP_AE.沪深300红线率,FLOW_TOP_AE.沪深300平均E,FLOW_TOP_AE.AVGE_INRANGE,FLOW_TOP_AE.过年线,FLOW_TOP_AE.是否过TOP,FLOW_TOP_AE.满足成交量,FLOW_TOP_AE.成交量,FLOW_TOP_AE.前高成交量,FLOW_TOP_AE.是否FINAL_COND,FLOW_TOP_AE.FLOW_TOP_TOP,FLOW_TOP_AE.BOTTOM_LINE,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,四大平均E.创业300平均E,四大平均E.中证500平均E,四大平均E.上证50平均E,四大平均E.沪深300平均E,四大平均E.四大平均平均,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2004/01/02,997,1021.57,993.89,1011.35,8064652,73.53,26.47,60,40,50,36.92,           ,36.92,55.08,0,80,68.69,30,10,0,45,70,1015.18,993.76,2.22,0,41.05,           ,           ,0,           ,8064652,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,2.22,41.05,           ,           ,0,           ,8064652,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,47.39,11.48,41.05,           ,0,0,0,30,40,50,70,80,8064652,           ,           
 2004/01/05,1008.28,1060.9,1008.28,1060.8,14468180,71.1,28.9,60,40,50,0.15,100,18.54,62.43,-18.38,80,68.69,30,10,0,45,70,1045.43,993.58,2.22,0,37.99,           ,           ,0,           ,14468180,           ,           ,           ,40,0,0,0,0,0,1,1,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,2.22,37.99,           ,           ,0,           ,14468180,           ,           ,           ,40,0,0,0,0,1,1,0,0,0,0,68.69,           ,45.47,8.71,37.99,           ,0,0,0,30,40,50,70,80,14468180,           ,           
 2004/01/06,1059.14,1086.69,1059.09,1075.66,16991334,72.15,27.85,60,40,50,11.89,100,15.21,65.97,-3.33,80,68.69,30,10,0,45,70,1048.22,976.41,2.96,0,36.9,           ,           ,0,           ,16991334,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,2.96,36.9,           ,           ,0,           ,16991334,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,44.87,7.62,36.9,           ,0,0,0,30,40,50,70,80,16991334,           ,           
 2004/01/07,1075.56,1095.84,1070.98,1086.3,13729419,70.52,29.48,60,40,50,9.36,100,12.28,69.3,-2.93,80,68.69,30,10,0,45,70,1050.18,971.29,2.22,0,35.2,           ,           ,0,           ,13729419,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,2.22,35.2,           ,           ,0,           ,13729419,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,43.57,6.86,35.2,           ,0,0,0,30,40,50,70,80,13729419,           ,           
 2004/01/08,1087.68,1108.29,1082.51,1102.66,10780427,69.91,30.09,60,40,50,4.92,100,8.6,72.86,-3.68,80,68.69,30,10,0,45,70,1053.7,965.18,0,0,31.48,           ,           ,0,           ,10780427,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,31.48,           ,           ,0,           ,10780427,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,40.23,5.97,31.48,           ,0,0,0,30,40,50,70,80,10780427,12806802,           
 2004/01/09,1105.77,1115.46,1079.07,1081.79,13467442,70.3,29.7,60,40,50,27.7,83.14,18.15,71.15,9.55,80,68.69,30,10,0,45,70,1052.97,958.9,0,0,34.25,           ,           ,0,           ,13467442,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,34.25,           ,           ,0,           ,13467442,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,41.86,8.33,34.25,           ,0,0,0,30,40,50,70,80,13467442,13887360,           
 2004/01/12,1081.81,1117.51,1079.77,1116.8,10233943,71.46,28.54,60,40,50,0.57,90.23,9.36,75.2,-8.79,80,68.69,30,10,0,45,70,1065.78,970.12,0,0,32.63,           ,           ,0,           ,10233943,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,32.63,           ,           ,0,           ,10233943,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,39.68,7.3,32.63,           ,0,0,0,30,40,50,70,80,10233943,13040513,           
 2004/01/13,1120.15,1123.66,1089.63,1102.34,9837189,70.72,29.28,60,40,50,16.43,87.52,12.9,75.28,3.54,80,68.69,30,10,0,45,70,1057.94,957.53,0,0,31.03,           ,           ,0,           ,9837189,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,31.03,           ,           ,0,           ,9837189,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,37.07,7.43,31.03,           ,0,0,0,30,40,50,70,80,9837189,11609684,           
 2004/01/14,1101.44,1101.67,1076.87,1079.72,7120499,68.79,31.21,60,40,50,33.86,67.67,23.38,71.85,10.48,80,68.69,30,10,0,45,70,1062.54,962.12,0.75,0,32.07,           ,           ,0,           ,7120499,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.75,32.07,           ,           ,0,           ,7120499,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,37.17,8.92,32.07,           ,0,0,0,30,40,50,70,80,7120499,10287900,           
 2004/01/15,1078.53,1088.67,1070.73,1073.98,6179207,66.87,33.13,60,40,50,38.28,44.59,30.83,67.27,7.45,80,68.69,30,10,0,45,70,1076.14,975.72,0.76,0,33.47,           ,           ,0,           ,6179207,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.76,33.47,           ,           ,0,           ,6179207,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,37.96,10.22,33.47,           ,0,0,0,30,40,50,70,80,6179207,9367656,11087229
