Open,High,Low,Close,Volume,Amount
2.614,2.623,2.614,2.623,6763300,18068472
2.621,2.624,2.62,2.622,2854600,7637081
2.621,2.626,2.621,2.626,4070500,10896844
2.626,2.632,2.626,2.631,5693100,15283308
2.631,2.633,2.631,2.633,4560200,12249804
2.632,2.632,2.63,2.631,2319100,6228054
2.631,2.631,2.627,2.627,1786900,4793633.5
2.627,2.628,2.627,2.627,1174900,3150298.5
2.627,2.627,2.624,2.624,4010700,10743351
2.624,2.625,2.622,2.623,3956700,10590645
2.624,2.624,2.622,2.623,1774000,4749333
2.623,2.623,2.619,2.619,2650400,7090787.5
2.619,2.619,2.609,2.609,2196500,5860392.5
2.61,2.61,2.601,2.602,2414700,6421558.5
2.602,2.602,2.591,2.592,4664100,12351123
2.593,2.593,2.583,2.583,9772700,25800004
2.584,2.592,2.584,2.592,14164600,37406028
2.593,2.6,2.593,2.598,17054500,45207184
2.599,2.6,2.597,2.598,9397800,24932900
2.598,2.598,2.594,2.594,4278700,11336448
2.594,2.594,2.589,2.589,7566400,20012986
2.588,2.589,2.587,2.588,13081200,34556188
2.589,2.596,2.589,2.596,12500100,33092750
2.596,2.603,2.596,2.602,7552300,20032170
2.602,2.602,2.6,2.601,5760900,15297092
2.602,2.602,2.598,2.599,3423500,9084189
2.599,2.602,2.598,2.601,2080600,5520719
2.603,2.607,2.602,2.606,4410900,11729300
2.608,2.608,2.605,2.605,7917100,21064808
2.605,2.605,2.602,2.602,2691600,7153083.5
2.602,2.603,2.6,2.602,2344700,6227355
2.602,2.605,2.602,2.605,10385800,27601952
2.606,2.607,2.605,2.607,7616700,20260014
2.607,2.608,2.605,2.605,7958500,21175522
2.605,2.61,2.605,2.609,3532000,9400669
2.61,2.615,2.61,2.615,5236400,13961527
2.614,2.616,2.614,2.616,8633500,23050382
2.616,2.616,2.612,2.613,2261700,6034334
2.613,2.614,2.612,2.613,1825700,4870655.5
2.613,2.616,2.613,2.615,2795400,7458670
2.615,2.615,2.613,2.614,1141400,3045624.75
2.614,2.614,2.609,2.609,4603500,12270123
2.609,2.614,2.609,2.613,1063600,2835566
2.611,2.612,2.611,2.612,385200,1026711.69
2.611,2.611,2.609,2.609,1918800,5111608.5
2.609,2.609,2.603,2.604,3981000,10591138
2.604,2.604,2.6,2.6,3750100,9959216
2.599,2.601,2.599,2.601,3381100,8972027
2.602,2.605,2.602,2.605,5070100,13475060
2.604,2.605,2.603,2.605,2746000,7299048.5
2.605,2.606,2.604,2.604,2771700,7368042.5
2.605,2.61,2.605,2.61,4570400,12161949
2.61,2.612,2.61,2.612,1927600,5136845.5
2.612,2.615,2.612,2.614,3344600,8919551
2.615,2.615,2.611,2.612,738700,1969838.5
2.611,2.611,2.608,2.611,2251200,5995220
2.611,2.613,2.611,2.612,1095300,2919681.25
2.612,2.615,2.612,2.614,1360400,3629636.5
2.614,2.615,2.612,2.612,3369800,8991623
2.613,2.613,2.61,2.61,1908900,5087886.5
2.61,2.61,2.608,2.61,812400,2164085.5
2.612,2.614,2.611,2.614,729500,1945177.88
2.613,2.619,2.613,2.619,2483400,6632074
2.619,2.619,2.615,2.615,1768600,4724144.5
2.616,2.619,2.614,2.616,4363200,11651809
2.617,2.619,2.617,2.618,4219600,11277612
2.619,2.623,2.619,2.623,5850000,15646421
2.622,2.624,2.622,2.623,7443900,19926996
2.624,2.625,2.62,2.62,6480400,17352378
2.62,2.623,2.619,2.623,2373700,6349572
2.623,2.624,2.622,2.624,4910300,13145221
2.624,2.625,2.623,2.624,2068500,5539483
2.623,2.624,2.621,2.621,2328200,6231161
2.621,2.621,2.616,2.618,3565400,9530614
2.617,2.617,2.614,2.616,1394500,3722427.25
2.617,2.618,2.616,2.616,802100,2141837.5
2.616,2.617,2.616,2.616,950900,2539037.25
2.616,2.617,2.615,2.616,676300,1805683.63
2.616,2.616,2.615,2.615,635000,1695033.88
2.616,2.616,2.615,2.615,71900,191923.8
2.615,2.618,2.615,2.618,280400,748888.88
2.618,2.618,2.616,2.617,372200,994404.19
2.618,2.618,2.618,2.618,530600,1417763.13
2.618,2.618,2.616,2.616,337500,901516.88
2.616,2.617,2.615,2.615,825200,2203417.75
2.615,2.615,2.613,2.614,1179500,3147072
2.613,2.614,2.613,2.613,366600,977902.06
2.613,2.613,2.612,2.612,928700,2476841
2.614,2.615,2.612,2.614,1304500,3479471.5
2.614,2.619,2.614,2.619,3307600,8836098
2.62,2.621,2.619,2.62,2051400,5486836
2.62,2.622,2.619,2.622,4832100,12922526
2.622,2.623,2.622,2.623,2164300,5792905.5
2.623,2.626,2.622,2.626,6395700,17129706
2.626,2.627,2.625,2.625,3670100,9835730
2.625,2.629,2.625,2.627,4986500,13366431
2.627,2.629,2.625,2.628,5392900,14460978
2.628,2.631,2.627,2.63,4032200,10818591
2.63,2.63,2.627,2.627,7205500,19334632
2.628,2.628,2.626,2.627,2742800,7351791
2.627,2.631,2.627,2.631,6884600,18474768
2.631,2.632,2.631,2.632,3135800,8420222
2.632,2.633,2.631,2.633,4092100,10990831
2.633,2.635,2.632,2.635,7363000,19788712
2.635,2.641,2.635,2.638,4366400,11748147
2.64,2.64,2.637,2.639,1573400,4237049
2.638,2.639,2.633,2.633,2340300,6294027
2.634,2.635,2.634,2.634,1630000,4381452.5
2.634,2.635,2.634,2.634,2580400,6936165.5
2.633,2.634,2.633,2.634,2470900,6640965
2.635,2.636,2.635,2.636,9518400,25599708
2.636,2.639,2.636,2.639,3804200,10240948
2.639,2.64,2.638,2.638,4298500,11577021
2.639,2.641,2.639,2.641,2282300,6149964
2.64,2.643,2.639,2.643,5259600,14174383
2.643,2.65,2.643,2.65,7048200,19033120
2.65,2.65,2.644,2.645,2890800,7811497.5
2.645,2.646,2.643,2.644,4442200,11991109
2.645,2.648,2.644,2.648,3779700,10205249
2.648,2.649,2.646,2.649,2663400,7196763.5
2.649,2.649,2.642,2.642,2392100,6461271
2.643,2.643,2.64,2.642,913600,2461990.25
2.641,2.643,2.641,2.643,1124500,3031821
2.642,2.643,2.642,2.642,312100,841561.69
2.642,2.642,2.641,2.641,4166000,11228199
2.642,2.643,2.642,2.643,4696400,12664078
2.643,2.644,2.642,2.642,3212100,8662441
2.642,2.643,2.642,2.642,833400,2247488.5
2.643,2.643,2.642,2.642,2577700,6950866
2.642,2.642,2.64,2.64,908600,2448648.75
2.64,2.64,2.637,2.637,1706100,4593179.5
2.637,2.637,2.635,2.636,1560200,4197926
2.635,2.636,2.634,2.636,2027700,5452476.5
2.636,2.636,2.635,2.636,483300,1299692.13
2.637,2.637,2.635,2.635,1644300,4422154.5
2.636,2.637,2.636,2.637,773100,2079704.63
2.637,2.64,2.636,2.64,629300,1693572.63
2.64,2.64,2.638,2.639,286200,770702.63
2.638,2.638,2.636,2.638,461700,1242311.38
2.638,2.639,2.638,2.639,261800,705016.94
2.64,2.64,2.637,2.637,291900,785665.38
2.637,2.639,2.636,2.639,1234200,3321713
2.639,2.641,2.638,2.638,1179400,3176129
2.638,2.639,2.638,2.639,1567300,4219182.5
2.639,2.64,2.638,2.639,949400,2556725.25
2.639,2.642,2.639,2.642,875300,2358780.25
2.641,2.642,2.64,2.64,1408600,3796023.5
2.639,2.641,2.639,2.64,283900,764860.44
2.641,2.641,2.64,2.64,596200,1606494.25
2.64,2.641,2.64,2.64,979800,2640503.5
2.641,2.642,2.641,2.641,2086500,5625132
2.642,2.643,2.641,2.643,766200,2065522.63
2.643,2.646,2.643,2.646,1862100,5025207
2.646,2.646,2.645,2.646,781800,2110578.75
